1183810:
 num     #instances         #bytes  class name (module)
 230:           781          31240  net.minecraft.client.model.geom.PartPose (minecraft@1.20.1)
 231:          1301          31224  org.antlr.v4.runtime.misc.Interval (org.antlr.antlr4.runtime@4.9.1)
 232:           486          31104  java.net.URL (java.base@17.0.15)
 233:          1244          29856  [Lsun.security.x509.AVA; (java.base@17.0.15)
 234:          1244          29856  sun.security.x509.AVA (java.base@17.0.15)
 235:          1244          29856  sun.security.x509.RDN (java.base@17.0.15)
 236:           930          29760  com.mojang.datafixers.TypeRewriteRule$Everywhere (datafixerupper@6.0.8)
 237:           460          29440  cpw.mods.jarhandling.impl.Jar (cpw.mods.securejarhandler)
 238:            69          29136  [Lorg.antlr.v4.runtime.dfa.DFAState; (org.antlr.antlr4.runtime@4.9.1)
 239:          1779          28464  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@17.0.15)
 240:          1779          28464  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (java.base@17.0.15)
 241:          1779          28464  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@17.0.15)
 242:           387          27864  net.minecraftforge.fml.loading.moddiscovery.ModFile (fmlloader@1.20.1-47.4.13)
 243:          1719          27504  com.mojang.serialization.MapCodec$$Lambda$1108/0x0000000800577dd0 (datafixerupper@6.0.8)
 244:           681          27240  com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry (com.google.common@31.1-jre)
 245:          1133          27192  com.mojang.serialization.MapCodec$$Lambda$1032/0x000000080055f080 (datafixerupper@6.0.8)
 246:           270          27104  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.15)
 247:           334          26720  java.net.URI (java.base@17.0.15)
 248:          1110          26640  com.mojang.datafixers.RewriteResult (datafixerupper@6.0.8)
 249:           251          26488  [Z (java.base@17.0.15)
 250:          1621          25936  com.google.gson.internal.LinkedTreeMap$EntrySet (com.google.gson@2.10)
 251:           648          25920  com.google.common.collect.ImmutableSortedMap (com.google.common@31.1-jre)
 252:           354          25488  net.minecraftforge.fml.loading.moddiscovery.ModInfo (fmlloader@1.20.1-47.4.13)
 253:           636          25440  org.openjdk.nashorn.internal.runtime.FinalScriptFunctionData (org.openjdk.nashorn)
 254:           352          25344  com.electronwill.nightconfig.core.file.WriteAsyncFileConfig (com.electronwill.nightconfig.core@3.6.4)
 255:          1039          24936  net.minecraft.client.model.geom.builders.PartDefinition (minecraft@1.20.1)
 256:          1555          24880  com.mojang.datafixers.DataFixUtils$$Lambda$1488/0x000000080071a858 (datafixerupper@6.0.8)
 257:          1555          24880  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1489/0x0000000800726118 (minecraft@1.20.1)
 258:          1555          24880  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1490/0x0000000800726360 (minecraft@1.20.1)
 259:           620          24800  java.lang.WeakPairMap$Pair$Weak (java.base@17.0.15)
 260:          1022          24528  cpw.mods.niofs.union.UnionFileSystem$EmbeddedFileSystemMetadata (cpw.mods.securejarhandler)
 261:           612          24480  java.util.IdentityHashMap (java.base@17.0.15)
 262:          1011          24264  jdk.dynalink.beans.SimpleDynamicMethod (jdk.dynalink@17.0.15)
 263:          1009          24216  net.minecraft.world.level.block.state.StateDefinition (minecraft@1.20.1)
 264:          1009          24216  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1466/0x000000080071c000 (minecraft@1.20.1)
 265:          1005          24120  net.minecraft.client.resources.model.ModelBakery$LoadedJson (minecraft@1.20.1)
 266:           481          23088  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.15)
 267:           945          22680  com.mojang.datafixers.types.families.RecursiveTypeFamily$$Lambda$1859/0x000000080082b470 (datafixerupper@6.0.8)
 268:           470          22560  java.util.TreeMap (java.base@17.0.15)
 269:           936          22464  org.apache.commons.lang3.tuple.ImmutableTriple (org.apache.commons.lang3@3.12.0)
 270:           467          22416  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 271:          1375          22000  com.google.common.collect.SingletonImmutableSet (com.google.common@31.1-jre)
 272:           535          21400  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.15)
 273:           871          20904  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.15)
 274:          1299          20784  java.util.LinkedHashMap$LinkedValues (java.base@17.0.15)
 275:           648          20736  com.google.common.collect.RegularImmutableSortedSet (com.google.common@31.1-jre)
 276:           364          20384  org.openjdk.nashorn.internal.runtime.AccessorProperty (org.openjdk.nashorn)
 277:           363          20328  java.nio.DirectFloatBufferU (java.base@17.0.15)
 278:           843          20232  com.mojang.datafixers.TypeRewriteRule$Seq (datafixerupper@6.0.8)
 279:           833          19992  com.mojang.serialization.Codec$2 (datafixerupper@6.0.8)
 280:           620          19840  java.lang.Package (java.base@17.0.15)
 281:           620          19840  java.lang.WeakPairMap$Pair$Weak$1 (java.base@17.0.15)
 282:           817          19608  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.15)
 283:           806          19344  org.apache.maven.artifact.versioning.ComparableVersion (maven.artifact@3.8.5)
 284:           301          19264  java.security.Provider$Service (java.base@17.0.15)
 285:           400          19200  com.mojang.blaze3d.shaders.Uniform (minecraft@1.20.1)
 286:           796          19104  java.security.Provider$ServiceKey (java.base@17.0.15)
 287:           338          18928  sun.security.ssl.CipherSuite (java.base@17.0.15)
 288:          1153          18448  net.minecraft.nbt.IntTag (minecraft@1.20.1)
 289:           768          18432  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition (minecraft@1.20.1)
 290:          1133          18128  com.mojang.serialization.Encoder$4 (datafixerupper@6.0.8)
 291:          1120          17920  net.minecraft.util.datafix.schemas.V1470$$Lambda$2064/0x0000000800861ce8 (minecraft@1.20.1)
 292:          1110          17760  com.mojang.datafixers.View (datafixerupper@6.0.8)
 293:             2          17440  [Lcom.mojang.serialization.Dynamic; (datafixerupper@6.0.8)
 294:             1          17424  [[Lnet.minecraft.client.gui.font.providers.UnihexProvider$Glyph; (minecraft@1.20.1)
